Wavelength_nm,P_50mA_dBm,P_100mA_dBm,P_300mA_dBm
1520,-42.55,-14.97,-7.94
1530,-40.89,-0.43,8.59
1540,-25.94,0.45,8.26
1550,-18.28,1.84,9.37
1560,-14.05,2.16,9.39
1570,-15.17,-2.03,2.10
1580,-17.95,-9.74,-8.04
1590,-18.84,-12.67,-11.12
1600,-20.05,-15.28,-13.87
1610,-21.23,-17.51,-16.54
